procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0     20 1808132 364732 4634408    0    0    26    78   15  286  8  2 91  0  0
 4  0     20 1812068 364740 4642456    0    0     0    82  479  767  2  1 97  0  0
 1  0     20 1798716 364748 4642452    0    0     0    31  383  516  1  0 98  0  0
 0  0     20 1815600 364756 4644008    0    0     0    34  404  534  2  1 97  0  0
 0  0     20 1820404 364764 4644564    0    0     0    75  415  622  2  0 98  0  0
 0  0     20 1811088 364772 4642520    0    0     0    28  339  460  2  0 98  0  0
 1  0     20 1788184 364780 4636932    0    0     0    38  393  516  2  0 98  0  0
 0  0     20 1804800 364804 4644540    0    0     0    79  410  545  2  0 98  0  0
 0  0     20 1810756 364812 4644348    0    0     0   100  480  748  2  1 97  0  0
 0  0     20 1801308 364820 4644528    0    0     0    33  353  479  2  0 98  0  0
 0  0     20 1813072 364828 4644952    0    0     0    37  354  488  1  1 98  0  0
 0  0     20 1812152 364836 4644408    0    0     0    84  342  429  2  0 98  0  0
 1  0     20 1810956 364844 4643804    0    0     0    32  367  485  2  0 97  0  0
 0  0     20 1825284 364852 4634668    0    0     0    26  264  361  1  0 99  0  0
 0  0     20 1824304 364860 4634564    0    0     0    64  169  258  0  0 100  0  0
 0  0     20 1823552 364868 4634564    0    0     0    16  132  194  0  0 100  0  0
 0  0     20 1823300 364876 4634564    0    0     0    16  132  194  0  0 100  0  0
 0  0     20 1823048 364884 4634564    0    0     0     6  131  197  0  0 100  0  0
 0  0     20 1823048 364892 4634564    0    0     0    48  181  356  0  0 99  0  0
 0  0     20 1823796 364900 4644352    0    0     0    32  272  338  1  0 98  0  0
 0  0     20 1814772 364908 4644404    0    0     0    43  417  530  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0     20 1758584 364924 4643760    0    0     0   100  497  601  4  1 96  0  0
 0  0     20 1823452 364932 4644400    0    0     0    53  465  585  4  1 96  0  0
 0  0     20 1819668 364940 4644360    0    0     0    47  438  529  3  1 96  0  0
 0  0     20 1816752 364948 4644940    0    0     0    48  450  529  3  1 97  0  0
 0  0     20 1815848 364956 4644376    0    0     0    83  590  678  4  1 95  0  0
 2  0     20 1752940 364964 4643684    0    0     0    82  514  655  4  1 96  0  0
